"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120030 Feijó";-;-;-;-;-;-;-;-;-;1;-;-;1
"130100 Carauari";-;-;1;-;-;-;-;-;-;-;-;-;1
"130140 Eirunepé";-;-;-;1;-;-;-;-;-;-;-;-;1
"130260 Manaus";-;-;-;-;-;-;-;-;-;-;1;-;1
"130310 Nova Olinda do Norte";-;1;-;-;-;-;-;-;-;-;-;-;1
"130353 Presidente Figueiredo";-;-;-;-;-;-;-;-;1;-;-;-;1
"150010 Abaetetuba";-;-;-;1;-;-;-;2;4;5;3;2;17
"150020 Acará";-;1;-;-;-;1;-;-;-;-;-;-;2
"150030 Afuá";1;-;-;-;-;-;-;-;-;-;-;-;1
"150070 Anajás";-;-;-;-;-;-;3;1;-;3;-;-;7
"150080 Ananindeua";1;-;-;-;-;-;1;6;1;-;-;-;9
"150120 Baião";-;-;-;-;-;-;-;-;1;-;-;-;1
"150130 Barcarena";2;-;-;-;1;-;-;-;4;1;1;3;12
"150140 Belém";1;2;-;-;-;5;2;4;1;-;7;3;25
"150150 Benevides";-;-;-;-;-;-;-;-;-;1;-;1;2
"150170 Bragança";-;-;-;-;-;-;-;-;-;3;-;-;3
"150180 Breves";-;-;-;-;-;-;-;1;9;1;-;2;13
"150190 Bujaru";-;-;-;-;-;-;-;1;-;-;-;-;1
"150210 Cametá";-;-;-;-;-;-;-;3;8;2;1;1;15
"150220 Capanema";-;1;-;-;1;-;-;-;-;-;-;-;2
"150240 Castanhal";-;-;-;-;-;-;-;1;-;-;-;-;1
"150275 Concórdia do Pará";-;-;-;-;-;-;1;-;-;-;-;-;1
"150330 Igarapé-Miri";1;-;-;-;-;-;1;-;-;1;-;1;4
"150350 Irituia";-;-;-;-;-;-;-;1;-;1;-;-;2
"150400 Limoeiro do Ajuru";-;1;-;-;-;-;-;-;-;1;1;-;3
"150442 Marituba";-;-;-;-;-;-;-;-;-;-;1;-;1
"150470 Moju";-;-;-;-;-;1;-;-;2;-;-;-;3
"150490 Muaná";-;-;1;-;-;-;-;1;-;-;-;1;3
"150520 Oeiras do Pará";-;-;-;-;-;-;-;-;1;-;-;-;1
"150570 Ponta de Pedras";1;-;-;-;-;-;-;-;-;1;-;-;2
"150650 Santa Izabel do Pará";-;-;-;-;-;-;-;-;-;-;1;-;1
"150720 São Domingos do Capim";-;2;-;1;-;-;1;-;-;-;-;1;5
"150747 São João de Pirabas";-;-;-;-;-;-;-;-;-;1;-;-;1
"150760 São Miguel do Guamá";-;-;-;-;-;-;1;1;-;-;-;-;2
"150795 Tailândia";-;1;-;-;-;-;-;-;-;-;-;-;1
"160030 Macapá";1;-;-;-;2;-;1;-;-;-;-;-;4
"160060 Santana";-;-;-;-;-;-;1;-;-;-;3;2;6
"211240 Turiaçu";-;-;-;-;-;-;-;-;-;-;1;-;1
"280510 Pedrinhas";-;1;-;-;-;-;-;-;-;-;-;-;1
"293100 Tanhaçu";-;-;-;-;-;-;-;-;-;1;-;-;1
"355030 São Paulo";-;-;-;-;-;-;1;-;-;-;-;-;1
"430770 Esteio";1;-;-;-;-;-;-;-;-;-;-;-;1
"521210 Joviânia";-;-;-;-;-;-;-;-;-;-;1;-;1
"Total";9;10;2;3;4;7;13;22;32;23;21;17;163
