 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:1994
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Ignorado";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;1;-;-;1;-;-;-;-;-;-;2
"110034 Alvorada D'Oeste";1;-;-;-;-;-;-;-;-;-;-;-;1;2
"110002 Ariquemes";1;-;-;-;1;-;-;3;-;1;2;-;-;8
"110004 Cacoal";-;-;-;-;-;1;1;-;1;-;1;1;2;7
"110005 Cerejeiras";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"110006 Colorado do Oeste";1;2;-;-;2;-;1;-;-;-;-;-;-;6
"110007 Corumbiara";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"110008 Costa Marques";1;-;-;1;-;-;1;-;-;-;-;-;-;3
"110009 Espigão D'Oeste";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"110100 Governador Jorge Teixeira";11;8;17;15;23;9;21;14;15;26;15;15;-;189
"110010 Guajará-Mirim";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"110011 Jaru";-;-;1;-;-;25;-;1;-;2;-;-;1;30
"110012 Ji-Paraná";-;2;2;1;2;1;-;2;1;2;1;2;1;17
"110013 Machadinho D'Oeste";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"110033 Nova Mamoré";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"110015 Ouro Preto do Oeste";-;-;-;-;-;2;-;-;-;-;-;-;1;3
"110018 Pimenta Bueno";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"110020 Porto Velho";618;559;747;674;685;666;671;691;725;667;680;632;8;8023
"110025 Presidente Médici";1;-;1;-;-;-;-;-;-;-;-;-;-;2
"110028 Rolim de Moura";-;1;1;-;-;1;-;-;-;-;-;-;2;5
"110029 Santa Luzia D'Oeste";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"110170 Urupá";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"110180 Vale do Paraíso";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"110030 Vilhena";-;-;-;-;-;1;3;1;-;-;-;-;1;6
"110000 Município ignorado - RO";1521;1430;1338;1206;1209;1592;2156;2211;2275;2224;2073;1992;15;21242
"120001 Acrelândia";2;1;2;2;3;1;2;4;5;1;2;3;-;28
"120005 Assis Brasil";1;2;4;5;5;5;8;6;5;6;5;8;-;60
"120010 Brasiléia";25;23;10;47;31;21;24;21;17;11;12;15;-;257
"120013 Bujari";1;-;2;-;2;1;-;1;-;-;-;1;-;8
"120017 Capixaba";-;-;2;-;-;-;-;-;-;-;-;-;-;2
"120020 Cruzeiro do Sul";165;107;155;132;154;134;55;159;46;142;142;110;-;1501
"120025 Epitaciolândia";13;11;2;10;21;9;12;5;10;4;8;3;-;108
"120030 Feijó";2;1;5;5;6;2;3;4;-;1;-;-;-;29
"120033 Mâncio Lima";11;14;16;15;20;29;14;22;20;23;19;-;-;203
"120034 Manoel Urbano";3;2;6;6;5;3;7;6;4;10;7;2;-;61
"120035 Marechal Thaumaturgo";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"120038 Plácido de Castro";23;14;31;25;24;26;25;45;38;34;25;30;-;340
"120080 Porto Acre";1;1;1;-;1;2;-;-;-;-;-;-;-;6
"120039 Porto Walter";-;-;1;-;-;1;1;-;-;-;2;-;-;5
"120040 Rio Branco";536;524;582;592;673;607;624;673;689;648;651;612;-;7411
"120042 Rodrigues Alves";2;-;-;-;1;1;-;-;-;1;3;-;-;8
"120043 Santa Rosa do Purus";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"120050 Sena Madureira";53;61;71;60;67;61;54;64;54;56;37;45;-;683
"120045 Senador Guiomard";-;2;1;4;5;2;2;-;3;2;-;4;-;25
"120060 Tarauacá";10;8;13;6;10;8;11;6;11;7;7;8;-;105
"120070 Xapuri";20;26;33;47;35;20;37;40;36;30;25;29;-;378
"120000 Município ignorado - AC";162;78;67;74;68;74;69;61;67;57;76;53;-;906
"130002 Alvarães";-;2;-;1;-;-;-;-;1;-;-;1;-;5
"130008 Anamã";3;4;2;-;-;-;1;4;4;2;-;1;-;21
"130010 Anori";21;13;8;25;30;22;24;19;24;21;11;15;-;233
"130014 Apuí";13;6;4;4;18;9;15;20;21;6;8;12;-;136
"130020 Atalaia do Norte";1;3;3;3;4;4;4;4;5;7;8;8;-;54
"130030 Autazes";3;26;42;35;30;7;2;20;26;20;8;11;-;230
"130040 Barcelos";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"130050 Barreirinha";7;5;-;11;10;2;4;3;2;7;5;5;-;61
"130060 Benjamin Constant";-;-;-;1;-;-;-;-;-;-;4;-;-;5
"130063 Beruri";21;11;21;13;20;16;6;7;11;10;2;9;-;147
"130068 Boa Vista do Ramos";1;9;4;4;2;7;5;6;11;3;5;3;-;60
"130070 Boca do Acre";34;29;39;42;59;16;39;27;34;39;33;45;-;436
"130080 Borba";17;16;33;25;38;11;19;29;34;19;18;32;1;292
"130083 Caapiranga";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130090 Canutama";8;9;3;6;15;10;9;7;13;4;7;9;-;100
"130100 Carauari";21;13;18;26;20;25;23;37;35;57;35;48;-;358
"130110 Careiro";15;17;11;17;9;9;3;15;25;16;24;19;-;180
"130115 Careiro da Várzea";1;1;-;-;1;-;-;-;-;-;-;-;-;3
"130120 Coari";11;72;79;49;88;67;44;68;72;74;73;93;-;790
"130130 Codajás";22;26;29;36;25;32;25;22;21;20;31;31;-;320
"130140 Eirunepé";33;40;40;40;45;45;40;49;54;50;24;1;-;461
"130150 Envira";-;7;6;15;24;9;11;11;21;15;16;11;-;146
"130160 Fonte Boa";9;-;-;-;-;-;-;10;-;14;4;3;-;40
"130165 Guajará";-;-;-;1;-;1;-;-;1;-;2;3;-;8
"130170 Humaitá";67;60;72;64;64;68;75;62;90;61;52;58;-;793
"130180 Ipixuna";2;8;3;7;5;11;17;7;6;4;10;4;-;84
"130185 Iranduba";2;3;5;3;5;5;6;2;-;-;3;1;-;35
"130190 Itacoatiara";121;95;136;110;111;110;98;132;114;141;103;117;-;1388
"130195 Itamarati";9;4;4;8;7;12;6;11;4;1;1;6;-;73
"130200 Itapiranga";7;3;11;7;5;5;9;8;2;6;6;4;-;73
"130220 Juruá";2;5;4;6;5;-;7;2;2;2;6;-;-;41
"130230 Jutaí";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"130240 Lábrea";43;37;42;52;50;-;29;46;54;67;48;45;-;513
"130250 Manacapuru";120;70;119;112;98;27;101;118;98;89;81;84;-;1117
"130255 Manaquiri";3;3;1;9;5;7;-;6;8;10;5;6;-;63
"130260 Manaus";2951;2468;2957;2991;2994;2633;2869;2856;2340;2832;2676;2912;2;33481
"130270 Manicoré";36;37;37;39;45;34;52;40;43;45;42;39;-;489
"130280 Maraã";1;4;8;1;4;1;8;6;1;7;4;3;-;48
"130290 Maués";54;51;51;70;63;57;65;61;49;67;57;51;-;696
"130300 Nhamundá";12;12;10;24;18;26;24;28;39;22;13;10;-;238
"130310 Nova Olinda do Norte";32;16;21;24;20;15;25;24;29;26;7;29;-;268
"130320 Novo Airão";5;13;11;15;17;11;16;13;9;10;-;-;-;120
"130330 Novo Aripuanã";7;14;19;24;30;16;17;14;13;22;14;16;-;206
"130340 Parintins";1;-;-;1;16;137;112;17;2;1;-;13;-;300
"130350 Pauini";2;-;4;5;-;1;-;-;-;-;-;-;-;12
"130353 Presidente Figueiredo";20;18;18;7;23;16;20;17;16;21;13;20;-;209
"130356 Rio Preto da Eva";1;6;3;4;2;5;3;8;4;5;4;7;-;52
"130360 Santa Isabel do Rio Negro";-;-;2;2;-;4;4;6;5;-;4;-;-;27
"130380 São Gabriel da Cachoeira";32;31;23;21;28;3;11;24;24;28;24;21;-;270
"130395 São Sebastião do Uatumã";10;6;7;7;1;13;12;7;1;2;5;7;-;78
"130400 Silves";13;5;7;8;10;9;4;10;1;1;4;4;-;76
"130406 Tabatinga";35;45;34;21;24;27;26;50;28;23;42;67;-;422
"130410 Tapauá";17;15;17;18;16;7;19;15;9;22;16;12;-;183
"130420 Tefé";115;56;119;115;73;132;129;156;111;76;108;161;-;1351
"130423 Tonantins";-;-;-;-;-;-;-;2;2;6;4;1;-;15
"130426 Uarini";-;3;-;-;-;-;-;-;-;-;-;-;-;3
"130430 Urucará";22;19;25;10;4;7;16;17;13;18;16;20;-;187
"130440 Urucurituba";5;8;10;8;8;5;5;4;10;11;20;11;-;105
"130000 Município ignorado - AM";172;83;70;12;56;154;100;12;3;4;3;6;-;675
"140005 Alto Alegre";8;7;10;7;10;12;14;11;19;11;-;-;-;109
"140010 Boa Vista";365;335;300;9;230;418;415;447;469;388;-;-;-;3376
"140015 Bonfim";15;9;11;2;9;9;11;12;13;8;-;-;-;99
"140020 Caracaraí";21;31;23;14;27;23;19;27;5;-;-;-;-;190
"140030 Mucajaí";20;14;10;5;10;27;18;18;16;10;-;-;-;148
"140040 Normandia";9;8;6;6;2;11;7;9;6;7;3;-;-;74
"140050 São João da Baliza";10;12;6;6;17;13;22;21;15;13;-;1;-;136
"140060 São Luiz";17;11;14;11;18;15;12;18;16;14;-;1;-;147
"140000 Município ignorado - RR";1;3;-;4;6;2;2;1;-;3;1;-;-;23
"150010 Abaetetuba";200;192;173;100;208;176;178;196;207;191;214;168;-;2203
"150013 Abel Figueiredo";4;8;10;5;2;3;4;4;1;10;4;6;-;61
"150020 Acará";8;3;7;5;24;32;27;25;35;18;32;7;-;223
"150030 Afuá";8;17;19;17;27;17;20;15;17;14;16;23;-;210
"150034 Água Azul do Norte";3;6;3;7;3;1;4;3;3;2;4;6;-;45
"150040 Alenquer";133;131;92;117;117;135;127;119;109;70;116;103;-;1369
"150050 Almeirim";84;68;83;47;73;43;80;89;33;38;69;91;1;799
"150060 Altamira";180;155;105;78;180;199;180;194;196;208;210;188;1;2074
"150070 Anajás";12;17;6;11;6;9;7;8;16;7;7;6;-;112
"150080 Ananindeua";952;794;872;887;914;871;889;947;753;858;928;904;-;10569
"150090 Augusto Corrêa";7;2;4;10;9;9;8;17;4;12;3;10;-;95
"150095 Aurora do Pará";8;7;12;13;6;5;6;10;7;8;1;3;-;86
"150100 Aveiro";-;1;1;1;7;1;2;1;-;-;1;3;-;18
"150110 Bagre";4;6;4;8;14;8;13;4;4;9;7;11;-;92
"150120 Baião";17;11;21;19;25;14;20;15;12;8;15;14;-;191
"150130 Barcarena";73;104;102;33;78;98;88;89;91;85;98;97;-;1036
"150140 Belém";2355;2090;2357;2398;2496;2376;2311;2407;1849;2216;2396;2334;1;27586
"150150 Benevides";75;63;64;93;90;64;82;103;73;67;65;81;-;920
"150157 Bom Jesus do Tocantins";16;17;11;10;10;17;25;17;9;16;14;23;-;185
"150160 Bonito";16;7;9;17;16;18;14;23;11;14;14;16;-;175
"150170 Bragança";16;25;24;24;42;25;41;25;22;81;20;37;-;382
