 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:1998
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"110001 Alta Floresta D'Oeste";56;30;44;69;54;34;45;51;55;45;58;50;591
"110037 Alto Alegre dos Parecis";16;7;17;20;14;20;19;17;29;16;13;17;205
"110040 Alto Paraíso";22;21;18;21;23;19;19;15;23;20;22;8;231
"110034 Alvorada D'Oeste";42;53;56;51;41;29;38;44;51;41;32;32;510
"110002 Ariquemes";133;169;178;178;180;155;160;177;158;145;133;54;1820
"110045 Buritis";24;18;21;6;24;20;18;14;20;20;9;17;211
"110003 Cabixi";11;14;15;14;15;12;8;8;15;13;17;13;155
"110060 Cacaulândia";8;4;13;8;11;4;9;10;10;11;9;3;100
"110004 Cacoal";135;155;155;166;164;126;147;160;153;145;140;151;1797
"110070 Campo Novo de Rondônia";20;10;16;24;17;10;15;17;19;14;8;19;189
"110080 Candeias do Jamari";6;6;11;9;5;4;11;12;8;7;8;5;92
"110090 Castanheiras";7;11;-;6;4;3;6;8;7;5;4;4;65
"110005 Cerejeiras";41;48;45;34;44;37;28;33;36;51;34;43;474
"110092 Chupinguaia";9;11;12;5;5;7;11;9;10;8;6;6;99
"110006 Colorado do Oeste";43;50;56;51;35;27;71;37;39;47;48;31;535
"110007 Corumbiara";10;18;20;15;7;12;15;17;23;22;9;16;184
"110008 Costa Marques";35;23;35;25;17;16;11;5;21;31;22;20;261
"110094 Cujubim";5;2;6;5;6;6;7;11;6;9;8;1;72
"110009 Espigão D'Oeste";65;49;50;56;62;48;44;61;55;29;52;54;625
"110100 Governador Jorge Teixeira";17;15;19;19;19;19;11;12;18;16;18;12;195
"110010 Guajará-Mirim";99;107;101;77;96;96;101;109;88;92;102;72;1140
"110110 Itapuã do Oeste";7;11;5;11;4;7;1;5;4;6;6;1;68
"110011 Jaru";134;129;117;135;128;96;118;125;149;78;125;111;1445
"110012 Ji-Paraná";198;180;265;244;275;217;119;228;249;220;189;210;2594
"110013 Machadinho D'Oeste";47;36;35;33;42;33;38;31;45;51;21;29;441
"110120 Ministro Andreazza";21;17;15;19;19;17;15;24;26;10;16;12;211
"110130 Mirante da Serra";29;28;33;34;30;25;40;26;24;32;23;30;354
"110140 Monte Negro";20;19;26;31;23;20;26;28;18;22;25;24;282
"110014 Nova Brasilândia D'Oeste";38;49;27;41;29;40;50;57;40;40;29;53;493
"110033 Nova Mamoré";18;18;12;16;18;14;17;15;18;23;25;15;209
"110143 Nova União";11;5;13;3;15;3;4;17;23;16;11;12;133
"110050 Novo Horizonte do Oeste";7;16;14;9;17;20;14;18;17;17;18;28;195
"110015 Ouro Preto do Oeste";74;65;88;79;76;59;73;66;97;81;95;97;950
"110145 Parecis";2;7;9;5;6;2;3;2;4;5;6;5;56
"110018 Pimenta Bueno";62;75;61;66;84;62;67;68;61;72;70;56;804
"110146 Pimenteiras do Oeste";3;5;9;2;3;2;3;7;4;6;2;3;49
"110020 Porto Velho";743;599;738;736;755;649;654;675;780;668;647;626;8270
"110025 Presidente Médici";47;45;34;37;45;35;41;48;37;45;35;44;493
"110147 Primavera de Rondônia";8;10;12;8;5;7;6;2;9;7;12;8;94
"110026 Rio Crespo";2;5;1;6;3;7;6;5;2;7;1;2;47
"110028 Rolim de Moura";96;74;89;97;100;97;96;116;83;90;85;92;1115
"110029 Santa Luzia D'Oeste";20;21;13;24;23;18;13;18;19;19;11;13;212
"110148 São Felipe D'Oeste";9;14;14;12;14;9;8;6;7;12;15;10;130
"110149 São Francisco do Guaporé";12;17;12;10;12;9;16;12;11;10;16;14;151
"110032 São Miguel do Guaporé";26;33;29;39;39;17;23;24;35;30;28;34;357
"110150 Seringueiras";22;16;14;16;25;23;14;24;12;15;21;25;227
"110155 Teixeirópolis";12;8;5;3;9;6;5;6;6;6;9;5;80
"110160 Theobroma";9;18;4;8;11;11;18;13;9;8;9;13;131
"110170 Urupá";10;14;10;11;26;14;30;27;32;25;20;26;245
"110175 Vale do Anari";8;8;13;5;9;10;15;5;10;8;9;13;113
"110180 Vale do Paraíso";11;14;16;13;17;9;4;16;18;13;13;11;155
"110030 Vilhena";111;88;122;115;124;77;99;100;101;136;103;104;1280
"110000 Município ignorado - RO";3;5;3;3;4;2;1;2;3;-;2;1;29
"120001 Acrelândia";5;11;11;9;7;5;8;2;3;1;3;3;68
"120005 Assis Brasil";4;5;4;9;4;6;7;2;3;3;4;-;51
"120010 Brasiléia";26;24;40;30;21;2;7;5;3;2;-;-;160
"120013 Bujari";2;-;2;4;3;-;1;3;2;1;-;1;19
"120017 Capixaba";-;-;3;1;-;-;1;-;1;1;-;-;7
"120020 Cruzeiro do Sul";188;207;232;270;231;228;245;246;202;54;56;129;2288
"120025 Epitaciolândia";-;1;-;1;-;1;-;-;-;-;-;-;3
"120030 Feijó";18;31;28;16;30;30;26;24;51;33;22;7;316
"120033 Mâncio Lima";29;21;37;24;35;28;22;41;41;27;27;13;345
"120034 Manoel Urbano";11;1;2;-;-;2;4;11;8;2;3;-;44
"120035 Marechal Thaumaturgo";9;8;13;19;16;21;25;15;5;7;6;1;145
"120038 Plácido de Castro";34;23;37;31;22;29;25;17;17;15;7;1;258
"120080 Porto Acre";4;1;4;4;4;3;3;4;3;3;1;1;35
"120039 Porto Walter";19;13;15;17;12;10;14;10;3;2;-;-;115
"120040 Rio Branco";729;688;667;754;758;678;405;648;727;717;673;666;8110
"120042 Rodrigues Alves";2;1;1;2;2;23;13;11;12;5;4;1;77
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-;-;1;-;-;-;1
"120050 Sena Madureira";76;57;81;78;79;74;39;77;77;79;51;61;829
"120045 Senador Guiomard";10;16;11;12;12;10;9;16;22;13;12;3;146
"120060 Tarauacá";3;4;4;24;3;12;1;1;3;1;-;33;89
"120070 Xapuri";3;-;2;37;27;9;25;27;27;24;1;-;182
"120000 Município ignorado - AC";-;-;-;-;-;-;-;1;-;1;-;1;3
"130002 Alvarães";8;1;7;-;2;3;4;2;3;3;3;1;37
"130006 Amaturá";-;7;10;9;7;9;12;20;15;10;12;11;122
"130008 Anamã";1;-;1;-;5;1;3;6;3;4;3;4;31
"130010 Anori";21;25;16;15;15;16;25;20;15;16;16;21;221
"130014 Apuí";37;30;19;31;33;14;27;23;18;30;28;28;318
"130020 Atalaia do Norte";13;11;7;9;19;10;9;8;3;10;5;5;109
"130030 Autazes";23;21;37;37;34;25;33;27;40;39;25;27;368
"130040 Barcelos";17;14;18;18;15;7;9;15;14;13;2;21;163
"130050 Barreirinha";4;9;16;16;11;14;13;21;14;21;12;3;154
"130060 Benjamin Constant";12;33;31;8;20;18;31;30;28;28;34;19;292
"130063 Beruri";12;5;8;9;11;4;9;6;5;11;13;8;101
"130068 Boa Vista do Ramos";4;4;6;12;10;9;11;-;11;8;12;17;104
"130070 Boca do Acre";43;30;46;41;47;45;43;47;54;42;-;5;443
"130080 Borba";20;24;18;20;26;21;37;20;34;40;41;28;329
"130083 Caapiranga";2;6;5;1;-;-;-;-;-;-;1;-;15
"130090 Canutama";14;10;19;11;18;12;17;21;9;6;-;1;138
"130100 Carauari";25;26;-;3;1;3;1;2;1;-;28;43;133
"130110 Careiro";20;23;19;19;12;19;22;25;17;29;20;26;251
"130115 Careiro da Várzea";-;-;2;1;1;4;-;-;1;5;2;2;18
"130120 Coari";107;79;98;89;91;86;92;111;96;112;88;103;1152
"130130 Codajás";44;35;36;39;31;34;37;36;30;44;1;1;368
"130140 Eirunepé";29;34;18;1;29;45;47;37;38;51;42;33;404
"130150 Envira";31;25;18;21;25;24;22;25;31;22;23;29;296
"130160 Fonte Boa";17;12;15;20;16;29;12;23;1;16;21;22;204
"130165 Guajará";-;-;-;-;1;-;-;-;-;2;7;16;26
"130170 Humaitá";77;67;72;69;75;74;79;75;101;92;87;16;884
"130180 Ipixuna";13;17;9;17;23;11;9;17;16;-;13;7;152
"130185 Iranduba";25;20;28;34;37;27;37;39;24;28;36;26;361
"130190 Itacoatiara";115;113;113;135;118;130;114;113;163;132;132;135;1513
"130195 Itamarati";6;2;-;-;-;-;-;16;13;6;6;13;62
"130200 Itapiranga";21;11;10;26;20;11;12;17;15;13;23;20;199
"130210 Japurá";-;-;-;-;-;-;-;1;-;-;-;-;1
"130220 Juruá";7;5;4;7;6;11;5;5;5;6;6;2;69
"130230 Jutaí";3;2;14;26;30;17;2;24;21;18;22;13;192
"130240 Lábrea";45;45;45;46;59;44;53;51;65;54;2;1;510
"130250 Manacapuru";165;156;174;177;182;182;37;162;149;212;155;167;1918
"130255 Manaquiri";-;2;2;2;1;1;2;3;5;13;8;4;43
"130260 Manaus";3381;2864;3303;3124;2949;2849;2815;3274;3438;3222;3125;3330;37674
"130270 Manicoré";47;56;38;46;46;39;49;53;54;46;61;45;580
"130280 Maraã";6;9;7;6;5;6;3;14;9;8;12;-;85
"130290 Maués";49;73;61;59;74;65;60;70;58;78;60;74;781
"130300 Nhamundá";16;23;17;28;37;16;17;24;17;21;19;33;268
"130310 Nova Olinda do Norte";22;22;44;42;24;20;18;17;28;25;16;21;299
"130320 Novo Airão";23;20;3;4;15;14;16;13;18;16;11;13;166
"130330 Novo Aripuanã";21;22;22;20;18;15;19;18;26;30;22;20;253
"130340 Parintins";108;116;128;150;144;158;154;39;169;102;13;43;1324
"130350 Pauini";9;7;11;9;5;6;10;11;9;14;9;10;110
"130353 Presidente Figueiredo";32;22;28;14;2;23;28;-;27;27;29;24;256
"130356 Rio Preto da Eva";15;11;12;18;16;4;11;15;13;12;9;18;154
"130360 Santa Isabel do Rio Negro";6;15;10;5;4;10;1;6;1;8;6;9;81
"130380 São Gabriel da Cachoeira";40;29;33;35;38;37;36;29;37;35;31;34;414
"130390 São Paulo de Olivença";-;1;-;-;6;-;3;19;3;19;30;23;104
"130395 São Sebastião do Uatumã";12;6;8;14;3;-;7;10;4;12;-;-;76
"130400 Silves";8;7;8;8;17;8;10;9;3;6;5;10;99
"130406 Tabatinga";55;65;81;69;66;74;68;61;102;61;2;44;748
"130410 Tapauá";21;8;24;16;20;20;13;19;11;29;14;11;206
"130420 Tefé";139;131;140;121;149;124;161;156;151;151;-;-;1423
"130423 Tonantins";-;-;-;1;1;-;-;-;-;-;-;-;2
"130426 Uarini";-;-;-;-;-;-;-;-;-;-;2;1;3
"130430 Urucará";21;17;15;16;19;14;21;20;19;33;8;20;223
"130440 Urucurituba";1;3;7;7;12;18;15;11;23;20;9;4;130
"130000 Município ignorado - AM";3;-;1;-;1;3;1;-;1;4;3;3;20
