"Tabela 2612 - Nascidos vivos, ocorridos no ano, por mês do nascimento, sexo, local de nascimento, número de nascidos por parto, idade da mãe na ocasião do parto e lugar de residência da mãe",,,,,,,,,,,,,,,,
Variável - Nascidos vivos ocorridos no ano (Pessoas),,,,,,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Ano x Mês do nascimento x Sexo x Local do nascimento,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,2016,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
MU,1100015,Alta Floresta D'Oeste (RO),Total,Total,24,20,41,25,34,32,23,18,28,21,22,30
MU,1100023,Ariquemes (RO),Total,Total,122,139,116,134,128,128,112,137,143,116,136,133
MU,1100031,Cabixi (RO),Total,Total,3,2,7,7,8,3,8,6,9,5,6,10
MU,1100049,Cacoal (RO),Total,Total,101,123,124,117,122,113,125,102,112,118,94,114
MU,1100056,Cerejeiras (RO),Total,Total,21,17,29,16,34,22,29,22,10,21,18,21
MU,1100064,Colorado do Oeste (RO),Total,Total,9,19,16,27,15,21,10,15,17,25,13,26
MU,1100072,Corumbiara (RO),Total,Total,12,9,7,10,17,13,9,7,10,8,10,18
MU,1100080,Costa Marques (RO),Total,Total,17,14,22,20,22,16,21,15,11,13,11,24
MU,1100098,Espigão D'Oeste (RO),Total,Total,33,31,45,28,36,46,42,47,43,49,38,35
MU,1100106,Guajará-Mirim (RO),Total,Total,61,78,86,50,57,74,79,69,57,59,69,49
MU,1100114,Jaru (RO),Total,Total,82,71,67,80,79,74,53,60,72,61,52,81
MU,1100122,Ji-Paraná (RO),Total,Total,163,164,167,158,179,145,135,145,198,173,143,170
MU,1100130,Machadinho D'Oeste (RO),Total,Total,36,30,42,36,31,35,31,29,38,34,27,35
MU,1100148,Nova Brasilândia D'Oeste (RO),Total,Total,27,20,14,26,26,21,22,20,17,14,19,19
MU,1100155,Ouro Preto do Oeste (RO),Total,Total,55,46,59,58,57,37,44,57,34,41,44,52
MU,1100189,Pimenta Bueno (RO),Total,Total,43,51,51,50,47,46,47,36,54,52,54,60
MU,1100205,Porto Velho (RO),Total,Total,701,666,723,748,691,679,703,661,760,715,644,563
MU,1100254,Presidente Médici (RO),Total,Total,14,19,25,22,22,27,22,24,34,27,27,26
MU,1100262,Rio Crespo (RO),Total,Total,3,-,1,4,4,4,2,2,5,5,5,6
MU,1100288,Rolim de Moura (RO),Total,Total,83,75,81,73,91,98,66,53,72,62,67,51
MU,1100296,Santa Luzia D'Oeste (RO),Total,Total,7,5,9,8,13,13,13,10,15,8,5,7
MU,1100304,Vilhena (RO),Total,Total,109,96,118,148,124,133,98,140,115,113,122,107
MU,1100320,São Miguel do Guaporé (RO),Total,Total,24,23,23,32,28,32,23,24,33,35,30,29
MU,1100338,Nova Mamoré (RO),Total,Total,26,42,28,52,36,26,30,33,26,29,34,31
MU,1100346,Alvorada D'Oeste (RO),Total,Total,12,13,15,12,16,13,9,9,11,14,14,21
MU,1100379,Alto Alegre dos Parecis (RO),Total,Total,13,13,17,14,11,16,19,14,7,15,13,14
MU,1100403,Alto Paraíso (RO),Total,Total,17,15,29,18,26,24,27,16,25,18,19,14
MU,1100452,Buritis (RO),Total,Total,60,50,76,58,58,52,53,40,59,50,44,55
MU,1100502,Novo Horizonte do Oeste (RO),Total,Total,4,9,6,7,4,9,13,4,8,8,7,7
MU,1100601,Cacaulândia (RO),Total,Total,6,3,12,4,10,7,6,6,7,4,4,5
MU,1100700,Campo Novo de Rondônia (RO),Total,Total,16,7,12,9,11,17,19,12,9,22,12,11
MU,1100809,Candeias do Jamari (RO),Total,Total,30,21,25,32,35,32,28,26,36,21,35,26
MU,1100908,Castanheiras (RO),Total,Total,6,6,2,4,5,5,6,4,4,4,3,6
MU,1100924,Chupinguaia (RO),Total,Total,5,10,15,6,19,15,12,11,19,12,9,10
MU,1100940,Cujubim (RO),Total,Total,26,22,28,21,23,24,19,33,11,19,27,19
MU,1101005,Governador Jorge Teixeira (RO),Total,Total,4,7,12,17,5,3,9,13,10,9,10,12
MU,1101104,Itapuã do Oeste (RO),Total,Total,14,12,10,11,13,13,7,15,13,10,11,13
MU,1101203,Ministro Andreazza (RO),Total,Total,9,6,14,14,8,8,4,6,5,5,7,11
MU,1101302,Mirante da Serra (RO),Total,Total,18,14,5,10,13,14,9,13,12,14,11,10
MU,1101401,Monte Negro (RO),Total,Total,18,10,9,10,15,24,17,14,12,12,9,18
MU,1101435,Nova União (RO),Total,Total,9,10,7,6,3,3,10,9,6,7,10,12
