 População Residente - Estimativas para o TCU - Brasil
População estimada por Município e Ano
Período:2000-2017
"Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"110001 Alta Floresta D'Oeste";25257;26919;27237;27563;29001;28629;29005;23857;24577;24354;24422;24228;24069;25728;25652;25578;25506
"110037 Alto Alegre dos Parecis";9770;13153;13490;13852;15449;15035;15454;11615;11962;11875;12826;12825;12833;13827;13884;13940;13993
"110040 Alto Paraíso";12348;13693;14084;14532;16504;15993;16510;16758;17169;17569;17144;17444;17742;19459;19841;20210;20569
"110034 Alvorada D'Oeste";18685;19770;19750;19711;19543;19586;19542;16485;17009;17127;16864;16625;16404;17399;17228;17063;16902
"110002 Ariquemes";75098;76371;78039;79680;86901;85031;86924;82388;84581;85541;90354;91570;92747;101269;102860;104401;105896
"110045 Buritis";12891;28132;30521;32774;42686;40120;42717;33072;33879;34693;32385;32899;33397;36555;37207;37838;38450
"110003 Cabixi";7832;7501;7490;7478;7421;7436;7421;6575;6777;6695;6309;6221;6132;6495;6424;6355;6289
"110060 Cacaulândia";4980;5355;5398;5411;5464;5450;5464;5553;5707;5736;5727;5764;5791;6268;6318;6367;6414
"110004 Cacoal";75862;73996;74381;74758;76417;75988;76422;76155;78263;78675;78601;78959;79330;85863;86556;87226;87877
"110070 Campo Novo de Rondônia";8846;12633;13500;14446;18606;17529;18619;12455;12790;12915;12669;12758;12847;13939;14081;14220;14354
"110080 Candeias do Jamari";14076;13816;14314;14874;17338;16700;17346;16736;17147;17547;19782;20292;20787;22973;23573;24155;24719
"110090 Castanheiras";4128;4189;4178;4162;4092;4110;4092;3624;3737;3685;3581;3527;3479;3689;3653;3617;3583
"110005 Cerejeiras";18746;18012;17925;17794;17217;17366;17215;16290;16784;16622;17030;16939;16852;18041;18013;17986;17959
"110092 Chupinguaia";4292;5701;5842;5991;6647;6477;6649;7456;7633;7843;8304;8515;8721;9636;9887;10129;10364
"110006 Colorado do Oeste";23759;21421;20881;20412;18349;18883;18342;17644;18216;17822;18602;18338;18093;19190;19001;18817;18639
"110007 Corumbiara";9668;10290;10160;10022;9411;9569;9409;9476;9761;9680;8802;8655;8530;9036;8938;8842;8749
"110008 Costa Marques";11712;10679;9919;10255;11731;11349;11735;13664;13973;14452;13700;14023;14355;15853;16258;16651;17031
"110094 Cujubim";4470;6976;7305;7662;9233;8827;9238;13857;14122;14889;15873;16570;17262;19410;20204;20974;21720
"110009 Espigão D'Oeste";24842;25985;26221;26468;27556;27274;27559;27867;28617;28892;28741;28963;29189;31699;32047;32385;32712
"110100 Governador Jorge Teixeira";12740;14497;15106;15785;18777;18002;18786;11432;11793;11593;10513;10272;10040;10534;10327;10127;9933
"110010 Guajará-Mirim";40871;38679;39194;39728;42075;41467;42082;39451;40541;40762;41646;41934;42202;45761;46203;46632;47048
"110110 Itapuã do Oeste";5906;7127;7356;7604;8695;8413;8699;7905;8110;8235;8561;8700;8830;9661;9831;9995;10155
"110011 Jaru";46814;53150;54352;54701;56238;55840;56242;52453;53955;53943;52043;51883;51765;55597;55669;55738;55806
"110012 Ji-Paraná";92728;107869;108694;109573;113441;112439;113453;107679;110707;111010;116587;117363;118092;128026;129242;130419;131560
"110013 Machadinho D'Oeste";32517;23873;24724;25645;29698;28649;29711;31475;32214;33159;31107;31780;32403;35633;36412;37167;37899
"110120 Ministro Andreazza";9839;11321;11308;11292;11223;11241;11223;10343;10653;10572;10354;10277;10203;10899;10860;10823;10786
"110130 Mirante da Serra";14550;13306;13438;13570;14150;14000;14152;12086;12446;12363;11869;11781;11686;12469;12414;12360;12308
"110140 Monte Negro";12873;13217;13838;14400;16874;16233;16881;12357;12710;12708;14090;14204;14313;15541;15710;15873;16032
"110014 Nova Brasilândia D'Oeste";15103;17216;17334;17458;18003;17862;18005;17170;17653;17698;19845;19883;19891;21427;21511;21592;21670
"110033 Nova Mamoré";18057;15692;16362;17098;20333;19496;20343;21162;21650;22337;22552;23143;23719;26227;26925;27600;28255
"110143 Nova União";6371;8438;8601;8772;9524;9329;9526;7750;7978;7944;7498;7437;7382;7883;7853;7824;7796
