Sigla,Code,Munic,1996,2000,2007,2010
AC,1200013,Acrelândia,4413,4429,6050,6622
AC,1200054,Assis Brasil,1061,1339,2395,2372
AC,1200104,Brasiléia,6665,7987,6822,7141
AC,1200138,Bujari,2990,4198,3509,4778
AC,1200179,Capixaba,1914,3685,5292,4869
AC,1200203,Cruzeiro do Sul,24046,28470,22998,23181
AC,1200252,Epitaciolândia,3652,3624,4207,4482
AC,1200302,Feijó,12398,15482,15562,15776
AC,1200328,Jordão,3429,3591,4324,4305
AC,1200336,Mâncio Lima,3991,5301,5621,6456
AC,1200344,Manoel Urbano,2873,3093,2995,2703
AC,1200351,Marechal Thaumaturgo,7882,7310,9823,10258
AC,1200385,Plácido de Castro,8234,8193,8392,6827
AC,1200393,Porto Walter,4120,4044,5461,5853
AC,1200401,Rio Branco,27510,26761,21134,27493
AC,1200427,Rodrigues Alves,6647,5461,8754,10074
AC,1200435,Santa Rosa do Purus,1306,1728,2523,2799
AC,1200450,Senador Guiomard,7828,11121,7583,7476
AC,1200500,Sena Madureira,11020,13265,12874,12917
AC,1200609,Tarauacá,12329,12091,15563,16239
AC,1200708,Xapuri,6556,5961,6948,5761
AC,1200807,Porto Acre,7458,10125,11875,12898
AL,2700102,Água Branca,13821,14164,13951,14276
AL,2700201,Anadia,7962,8741,8165,8475
AL,2700300,Arapiraca,35096,34112,38690,32525
AL,2700409,Atalaia,20044,22603,25529,21865
AL,2700508,Barra de Santo Antônio,3695,1777,1369,988
AL,2700607,Barra de São Miguel,1344,1138,1125,1053
AL,2700706,Batalha,4443,4477,4900,5034
AL,2700805,Belém,3389,4096,3167,2679
AL,2700904,Belo Monte,5247,5596,6041,5859
AL,2701001,Boca da Mata,8880,8812,8650,8326
AL,2701100,Branquinha,6552,5437,4966,3910
AL,2701209,Cacimbinhas,4791,5316,4627,4793
AL,2701308,Cajueiro,5103,4927,4052,3925
AL,2701357,Campestre,,1498,914,1058
AL,2701407,Campo Alegre,22952,24911,26713,28655
AL,2701506,Campo Grande,5339,5431,5610,4847
AL,2701605,Canapi,13189,13222,12712,11712
AL,2701704,Capela,8455,6466,4301,4427
AL,2701803,Carneiros,3085,3200,3616,3588
AL,2701902,Chã Preta,4254,4088,3268,2658
AL,2702009,Coité do Nóia,7723,9474,7277,7189
AL,2702108,Colônia Leopoldina,7105,6079,4909,4700
AL,2702207,Coqueiro Seco,537,560,589,553
AL,2702306,Coruripe,31294,26647,8347,6087
AL,2702355,Craíbas,12781,14181,15336,15313
AL,2702405,Delmiro Gouveia,8655,9432,12973,13242
AL,2702504,Dois Riachos,7150,6645,6059,5795
AL,2702553,Estrela de Alagoas,12133,13081,12941,13222
AL,2702603,Feira Grande,15782,17713,17899,17900
AL,2702702,Feliz Deserto,847,988,1082,864
AL,2702801,Flexeiras,6821,5289,4298,4308
AL,2702900,Girau do Ponciano,19397,20716,24651,25302
AL,2703007,Ibateguara,7153,6828,6554,5814
AL,2703106,Igaci,18918,19698,19187,19004
AL,2703205,Igreja Nova,15143,17018,18088,18517
AL,2703304,Inhapi,10408,11831,11300,11199
AL,2703403,Jacaré dos Homens,2710,2894,2758,2381
AL,2703502,Jacuípe,4181,3969,2974,2642
AL,2703601,Japaratinga,4484,4357,4412,4446
AL,2703700,Jaramataia,2663,2901,2622,2645
AL,2703759,Jequiá da Praia,,,8891,9150
AL,2703809,Joaquim Gomes,8561,8882,7646,8098
AL,2703908,Jundiá,9621,2532,1655,1375
AL,2704005,Junqueiro,16442,16875,16882,16033
AL,2704104,Lagoa da Canoa,11843,11102,9006,9085
AL,2704203,Limoeiro de Anadia,17481,22158,23338,24746
AL,2704302,Maceió,55315,1955,898,619
AL,2704401,Major Isidoro,8843,9104,9462,9591
AL,2704500,Maragogi,6575,8930,8614,10124
AL,2704609,Maravilha,9068,8433,5538,5147
AL,2704708,Marechal Deodoro,10764,6029,7563,2585
AL,2704807,Maribondo,4655,5044,3969,3641
AL,2704906,Mar Vermelho,3212,2609,2347,2014
AL,2705002,Mata Grande,19694,20301,19359,19024
AL,2705101,Matriz de Camaragibe,6360,5755,4283,1689
AL,2705200,Messias,3064,2438,1460,1419
AL,2705309,Minador do Negrão,3551,3501,3082,3023
AL,2705408,Monteirópolis,4094,4549,4301,4420
AL,2705507,Murici,8157,7186,5125,4602
AL,2705606,Novo Lino,6172,5034,4925,4732
AL,2705705,Olho d'Água das Flores,6050,6421,6352,6375
AL,2705804,Olho d'Água do Casado,2338,3172,3926,4464
