Sigla,Codigo,Munic’pio,1991,2000
AC,1200013,Acrel‰ndia,0,3506
AC,1200054,Assis Brasil,1616,2151
AC,1200104,Brasil_ia,9992,9026
AC,1200138,Bujari,3422,1628
AC,1200179,Capixaba,3058,1521
AC,1200203,Cruzeiro do Sul,26766,38971
AC,1200252,Epitaciol‰ndia,6477,7404
AC,1200302,Feij—,7151,11240
AC,1200328,Jord‹o,127,863
AC,1200336,M‰ncio Lima,3575,5794
AC,1200344,Manoel Urbano,1809,3281
AC,1200351,Marechal Thaumaturgo,291,985
AC,1200385,Pl‡cido de Castro,4332,6979
AC,1200393,Porto Walter,797,1441
AC,1200401,Rio Branco,148631,226298
AC,1200427,Rodrigues Alves,0,2632
AC,1200435,Santa Rosa do Purus,637,518
AC,1200450,Senador Guiomard,6303,8640
AC,1200500,Sena Madureira,10369,16155
AC,1200609,Tarauac‡,9439,13946
AC,1200708,Xapuri,7022,5995
AC,1200807,Porto Acre,6706,1293
AL,2700102,çgua Branca,3619,4496
AL,2700201,Anadia,7903,9108
AL,2700300,Arapiraca,130963,152354
AL,2700409,Atalaia,14265,17949
AL,2700508,Barra de Santo Ant™nio,5643,9574
AL,2700607,Barra de S‹o Miguel,3501,5241
AL,2700706,Batalha,8278,10322
AL,2700805,Bel_m,1827,1823
AL,2700904,Belo Monte,1066,1226
AL,2701001,Boca da Mata,11506,15415
AL,2701100,Branquinha,2695,5888
AL,2701209,Cacimbinhas,4060,4236
AL,2701308,Cajueiro,12393,14048
AL,2701357,Campestre,0,4725
AL,2701407,Campo Alegre,11532,16117
AL,2701506,Campo Grande,4004,3703
AL,2701605,Canapi,3315,4112
AL,2701704,Capela,9734,12227
AL,2701803,Carneiros,2036,3385
AL,2701902,Ch‹ Preta,3019,3672
AL,2702009,Coit_ do N—ia,2081,2519
AL,2702108,Col™nia Leopoldina,9540,11414
AL,2702207,Coqueiro Seco,4203,4574
AL,2702306,Coruripe,13975,22199
AL,2702355,Cra’bas,5068,6608
AL,2702405,Delmiro Gouveia,31957,33563
AL,2702504,Dois Riachos,3413,4421
AL,2702553,Estrela de Alagoas,0,3260
AL,2702603,Feira Grande,2813,3557
AL,2702702,Feliz Deserto,2641,2848
AL,2702801,Flexeiras,4535,6690
AL,2702900,Girau do Ponciano,7553,8858
AL,2703007,Ibateguara,7354,8277
AL,2703106,Igaci,5058,5886
AL,2703205,Igreja Nova,4010,4433
AL,2703304,Inhapi,4046,5937
AL,2703403,Jacar_ dos Homens,2242,2826
AL,2703502,Jacu’pe,2302,3344
AL,2703601,Japaratinga,2224,2511
AL,2703700,Jaramataia,2128,2887
AL,2703759,Jequi‡ da Praia,,
AL,2703809,Joaquim Gomes,8544,12606
AL,2703908,Jundi‡,1402,2148
AL,2704005,Junqueiro,5133,6957
AL,2704104,Lagoa da Canoa,4909,8886
AL,2704203,Limoeiro de Anadia,1528,2105
AL,2704302,Macei—,583343,795804
AL,2704401,Major Isidoro,7813,8535
AL,2704500,Maragogi,8920,12902
AL,2704609,Maravilha,3602,5254
AL,2704708,Marechal Deodoro,14658,29837
AL,2704807,Maribondo,9623,10101
AL,2704906,Mar Vermelho,979,1469
AL,2705002,Mata Grande,4430,4731
AL,2705101,Matriz de Camaragibe,14340,18262
AL,2705200,Messias,6308,9552
AL,2705309,Minador do Negr‹o,1620,1898
AL,2705408,Monteir—polis,1820,2691
AL,2705507,Murici,13891,17485
AL,2705606,Novo Lino,5150,5341
AL,2705705,Olho d'çgua das Flores,9430,12996
AL,2705804,Olho d'çgua do Casado,3773,3887
AL,2705903,Olho d'çgua Grande,920,1077
AL,2706000,Olivença,1605,2371
AL,2706109,Ouro Branco,4423,5300
AL,2706208,Palestina,2213,3014
AL,2706307,Palmeira dos êndios,46421,48958
AL,2706406,P‹o de Açœcar,9025,10806
AL,2706422,Pariconha,1925,2404
AL,2706448,Paripueira,0,7085
AL,2706505,Passo de Camaragibe,5354,5751
AL,2706604,Paulo Jacinto,4483,4661
AL,2706703,Penedo,38574,41545
AL,2706802,Piaçabuçu,10297,10154
AL,2706901,Pilar,22248,28166
AL,2707008,Pindoba,1232,1330
AL,2707107,Piranhas,1718,1340
AL,2707206,Poço das Trincheiras,1215,1557
AL,2707305,Porto Calvo,11182,14983
AL,2707404,Porto de Pedras,4035,5198
